79.6,15.8,29.9,76.6,7777
79.7,15.7,29.9,76.7,7777
79.6,15.7,29.8,76.6,7777
79.6,15.7,29.8,76.6,7777
79.7,15.7,29.9,76.5,7777
79.7,15.7,29.8,76.7,7777
79.6,15.7,29.8,76.5,7777
79.5,15.7,29.9,76.6,7777
79.7,15.7,29.9,76.6,7777
79.6,15.7,29.9,76.6,7777
79.6,15.7,29.9,76.6,7777
79.6,15.7,29.8,76.5,7777
79.5,15.7,29.9,76.6,7777
79.6,15.8,29.9,76.6,7777
79.6,15.7,29.8,76.6,7777
79.6,15.7,29.9,76.7,7777
79.6,15.7,29.9,76.8,7777
79.5,15.7,29.8,76.7,7777
79.6,15.7,29.8,76.7,7777
79.5,15.7,29.9,76.6,7777
79.6,15.7,29.8,76.8,7777
79.6,15.7,29.8,76.6,7777
79.6,15.7,29.9,76.7,7777
79.6,15.7,29.8,76.5,7777
79.7,15.7,29.9,76.6,7777
79.6,15.7,29.8,76.7,7777
79.6,15.7,29.8,76.6,7777
79.5,15.7,29.9,76.6,7777
79.6,15.7,29.8,76.7,7777
79.6,15.7,29.8,76.8,7777
79.5,15.7,29.8,76.6,7777
79.6,15.7,29.8,76.6,7777
79.6,15.6,29.8,76.6,7777
79.6,15.7,29.8,76.6,7777
79.6,15.7,29.8,76.6,7777
79.5,15.7,29.8,76.7,7777
79.6,15.7,29.9,76.6,7777
79.6,15.7,29.9,76.6,7777
79.5,15.7,29.9,76.6,7777
79.6,15.7,29.8,76.7,7777
79.5,15.7,29.9,76.7,7777
79.6,15.7,29.9,76.6,7777
79.6,15.7,29.8,76.7,7777
79.5,15.7,29.8,76.7,7777
79.7,15.7,29.8,76.5,7777
79.6,15.7,29.8,76.6,7777
79.6,15.7,29.9,76.6,7777
79.7,15.7,29.8,76.5,7777
79.6,15.7,29.9,76.6,7777
79.6,15.7,29.9,76.7,7777
79.6,15.7,29.8,76.7,7777
79.6,15.8,29.8,76.6,7777
79.6,15.7,29.8,76.6,7777
79.7,15.7,29.8,76.6,7777
79.6,15.7,29.9,76.6,7777
79.6,15.7,29.8,76.5,7777
79.6,15.8,29.8,76.6,7777
79.7,15.7,29.9,76.6,7777
79.5,15.8,29.7,76.6,7777
79.5,15.5,29.7,77.0,7777
79.4,15.7,29.6,76.6,7777
79.4,16.3,30.0,75.8,7777
79.6,16.9,30.6,75.4,7777
79.7,17.1,30.7,74.9,7777
79.2,17.5,30.2,74.2,7777
78.8,17.1,30.0,75.0,7777
